"DiamondLogId";"UniqueUserId";"DiamondTotal";"PaymentType";"DiamondUsage";"UsageDate"
"002ed8dc-640b-47d4-8303-7776357659ef";"43";"5";"topup";"topup 5 diamond";"2019-10-09 02:40:10"
"006c3269-1698-4f03-980d-737843ec4b88";"128";"5";"charge";"Video Tryout Registration: TryOut UTBK 2020 #1 - Saintek STG 66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"2019-12-25 19:36:54"
"008a072a-f34c-450d-9146-eb8a5de1b344";"126";"5";"topup";NULL;"2019-10-13 04:33:13"
"00a66721-bbc5-42c0-bef7-6f3277b8774b";"128";"5";"charge";"Full Tryout Registration: TryOut UTBK 2020 #1 - Saintek STG 66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"2019-10-29 01:15:46"
"02217139-d373-403b-a040-d384231d73c4";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-28 04:31:43"
"023b527f-d0fa-4899-931d-de7d4442a501";"25";"5";"topup";NULL;"2019-10-13 03:10:33"
"04082bca-3037-4f97-874d-b86d27a0af06";"97";"5";"charge";"Full Tryout Registration: TryOut UTBK 2020 #1 - Saintek 66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"2019-10-09 11:16:03"
"04d2802a-d219-4af6-9395-c0903e835ef7";"107";"5";"topup";NULL;"2019-10-12 12:13:33"
"04fea08e-205f-4778-ac27-54aeacc86f22";"129";"5";"charge";"Full Tryout Registration: TryOut UTBK 2020 #1 - Saintek STG 66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"2019-11-09 04:14:36"
"051e8124-deef-42be-b54e-1ee1d2b9fe16";"7";"5";"charge";"Konseling 1on1 reservation";"2019-12-16 06:55:20"
"0526258b-1778-4b4f-9adc-a77af1771740";"127";"5";"charge";"Aptitude test reservation";"2019-11-14 05:20:02"
"05355f64-c259-4451-9003-752a0c401d4d";"127";"3";"charge";"Full Tryout Registration: TryOut UTBK 2020 #3 - Soshum STG de9b4a69-865b-497a-87b5-90cfcff42ea6";"2019-12-19 03:49:22"
"06de0bd2-69bb-4663-84e4-31d96910f564";"127";"5";"charge";"Aptitude test reservation";"2019-11-13 03:45:54"
"0772b892-b26b-4213-ae6e-a361d0b3f333";"123";"5";"topup";NULL;"2019-10-09 09:41:58"
"077e559c-33c4-4ccb-91ce-3d839c27c2ab";"118";"5";"topup";NULL;"2019-10-13 04:33:11"
"085c6620-5b07-4b71-b7d1-1f3de8d22017";"123";"5";"topup";NULL;"2019-12-03 07:38:43"
"08c101e1-2468-4ff8-8189-d943c6c08474";"127";"5";"charge";"Konseling 1on1 reservation";"2019-11-20 07:34:56"
"095a7065-984c-4f15-8e03-3927b97e2028";"127";"10";"charge";"Konseling 1on1 reservation";"2019-11-15 09:37:24"
"097d818d-178d-4566-b6e3-1e47ca084eb3";"135";"5";"charge";"Aptitude test reservation";"2019-11-28 08:58:51"
"0a8623cd-d99b-47a0-9c07-a71b8081ac7d";"123";"45";"topup";NULL;"2020-01-02 07:41:51"
"0b22783d-8a5f-49ce-8a45-a4ca39fd3fe0";"127";"5";"charge";"Aptitude test reservation";"2019-11-25 04:20:45"
"0b72f9df-be1f-47df-9565-8e3706a97107";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-30 13:43:21"
"0b801b3b-928e-4042-899e-171815e7bbcf";"123";"0";"charge";"Pending Tryout Registration: TryOut UTBK 2020 #3 - IPC STG 2f915617-0dfd-4e3f-a392-c3fc8df0ecb7";"2019-12-13 12:56:43"
"0c4c9e9c-144a-439a-afe4-b1653e727a55";"135";"10";"charge";"Konseling 1on1 reservation";"2019-10-31 03:48:02"
"0d1d3fbd-965d-4063-9c7a-363826578307";"125";"5";"topup";NULL;"2019-10-13 04:33:12"
"0dbec9bd-a1af-4e81-985b-239851509b12";"123";"5";"topup";"topup 5 diamond";"2019-10-09 03:52:29"
"0e215f44-ec60-467c-9e21-535a5ac0c561";"12";"5";"topup";NULL;"2019-10-13 03:10:29"
"0e4d3579-0810-41e2-aeda-40dc0d880119";"127";"5";"charge";"Aptitude test reservation";"2019-11-13 10:33:54"
"0f632d40-f524-4825-b859-b5ae90ffe688";"127";"5";"charge";"Konseling 1on1 reservation";"2019-11-20 07:45:30"
"0fc97d55-5883-437a-bee2-e8560f9f3b26";"43";"5";"charge";"Full Tryout Registration: TryOut UTBK 2020 #1 - Soshum a705ffc8-6eed-407b-b02b-9b86bd31a252";"2019-10-17 02:27:34"
"0fd39636-9176-44c0-83fa-cd742394106c";"3";"5";"topup";NULL;"2019-10-13 04:33:07"
"0fd58885-425d-4a14-855f-a7db17144287";"127";"5";"charge";"Aptitude test reservation";"2019-11-13 10:34:27"
"106b584e-d620-4f61-a310-61afea72029d";"155";"3";"charge";"Full Tryout Registration: TryOut UTBK 2020 #3 - Soshum STG de9b4a69-865b-497a-87b5-90cfcff42ea6";"2020-01-09 10:29:31"
"10852565-0489-4266-8ad9-3c9d099b3a32";"23";"5";"topup";NULL;"2019-10-12 12:13:24"
"114866d8-f8c0-42a6-b7de-beb4f05065ca";"129";"5";"charge";"Full Tryout Registration: TEST TryOut UTBK 2020 #2 - Saintek STG 3910cbc4-ecd6-477c-b158-bd3064d3451a";"2019-11-17 18:45:30"
"1235fed5-99a5-4e49-9aa1-7434a4188be2";"127";"5";"charge";"Konseling 1on1 reservation";"2019-11-18 07:36:05"
"12b9466b-0994-4756-98f4-11608b10835a";"127";"10";"charge";"Konseling 1on1 reservation";"2019-11-01 03:22:13"
"13116fed-2a0c-4bb7-a416-d8c79437a154";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-31 03:37:44"
"13df9268-3581-428e-bc9d-3beebb203645";"32";"5";"topup";NULL;"2019-10-12 12:13:24"
"13f52c29-848d-49d1-88c3-0b757760d468";"135";"5";"charge";"Aptitude test reservation";"2019-11-27 03:12:15"
"144bd1d3-0476-4b86-a867-f7a7da132f55";"120";"5";"topup";NULL;"2019-10-12 10:40:21"
"14556174-ef9f-440d-aa89-0210bd8557c3";"123";"5";"topup";NULL;"2020-01-06 06:12:02"
"154b160f-5af7-40c4-87cf-6b6883517a52";"135";"5";"charge";"Aptitude test reservation";"2019-11-27 10:58:22"
"155ad1db-e6ee-44d1-9074-b933a87695f4";"7";"3";"charge";"Full Tryout Registration: TryOut UTBK 2020 #3 - Saintek STG 2adb73ac-f35e-4657-9c09-8db9cc02c1a4";"2020-01-09 02:44:01"
"15ab29f3-79f1-43fc-93c4-8e8252051408";"127";"5";"charge";"Konseling 1on1 reservation";"2019-11-20 03:27:53"
"161c5a92-b9c3-4be8-af61-13e49515f874";"155";"3";"charge";"Full Tryout Registration: TryOut UTBK 2020 #3 - IPC STG 2f915617-0dfd-4e3f-a392-c3fc8df0ecb7";"2020-01-07 06:25:22"
"16939d41-16d3-4f8d-a44f-8e35cc959228";"127";"5";"charge";"Aptitude test reservation";"2019-11-25 06:51:13"
"16c4e24f-c443-4508-a91e-8255533eb070";"142";"3";"charge";"Full Tryout Registration: TryOut UTBK 2020 #3 - Saintek STG 2adb73ac-f35e-4657-9c09-8db9cc02c1a4";"2019-12-12 10:21:42"
"16f2d2d1-2afe-4a0f-b351-91da0276e2fb";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-29 09:02:11"
"1768d47d-58cb-437e-9828-7cc13e7d491a";"127";"5";"charge";"Aptitude test reservation";"2019-11-25 07:24:47"
"179d6162-139a-49f5-928c-3042ea1b5364";"125";"5";"topup";NULL;"2019-10-12 12:13:33"
"17cd857a-3ddd-4c6e-936d-6c0791d48ccc";"127";"5";"charge";"Aptitude test reservation";"2019-11-25 07:45:26"
"187aa1c4-3c5b-4082-9597-16d349ea0837";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-28 07:10:07"
"1898ef10-80da-41c5-9b00-0be3a80348d4";"127";"10";"charge";"Manual Booking: Konseling 1on1";"2019-10-23 04:02:25"
"18e96622-06fa-418c-b084-c5008df6ced9";"135";"10";"charge";"Konseling 1on1 reservation";"2019-10-31 03:49:49"
"19072c88-b422-48c9-b780-34b5c370d260";"22";"5";"topup";NULL;"2019-10-13 04:33:08"
"19096980-5523-4be8-b6ca-2453c791b29c";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-28 05:21:24"
"1910bc98-4427-45d2-9a5b-77f9f3d56e15";"117";"5";"topup";NULL;"2019-10-13 04:33:10"
"196d6cda-492c-4ac6-a355-65478a852924";"127";"5";"charge";"Konseling 1on1 reservation";"2019-11-20 08:02:12"
"19aed9ea-adbf-4e37-941d-066da79e83c0";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-30 13:43:23"
"1a5e5e22-5748-40be-b52e-a7cd19be27ce";"150";"5";"charge";"Full Tryout Registration: TEST TryOut UTBK 2020 #2 - Saintek STG 3910cbc4-ecd6-477c-b158-bd3064d3451a";"2019-12-19 07:57:34"
"1b4881a8-ab20-4885-990c-c4e0856f590a";"123";"5";"topup";NULL;"2019-12-04 03:59:02"
"1bd4026d-dd32-478c-b6b6-7584a9959eb9";"127";"5";"charge";"Konseling 1on1 reservation";"2019-11-19 04:08:29"
"1c0995ce-176d-42ea-a244-65886c6745a7";"127";"10";"charge";"Konseling 1on1 reservation";"2019-11-15 09:20:07"
"1d218ff4-9273-405f-b29f-2157e9f04f10";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-28 06:49:39"
"1d7c2bd2-4dd4-49c8-bdad-bb5060e7d454";"127";"5";"charge";"Aptitude test reservation";"2019-11-25 07:37:26"
"1d959bc1-866d-4547-9f29-4197805f8bf2";"127";"5";"charge";"Konseling 1on1 reservation";"2019-11-22 04:01:30"
"1edbd5d6-03f0-46d6-8c40-a1ce39dd4ebf";"142";"3";"charge";"Full Tryout Registration: TryOut UTBK 2020 #3 - Saintek STG 2adb73ac-f35e-4657-9c09-8db9cc02c1a4";"2019-12-12 09:54:51"
"206b1954-a819-4c2d-bc4f-16d127c9bfde";"127";"5";"charge";"Aptitude test reservation";"2019-11-25 10:34:59"
"20a2d653-a256-48c0-a7fb-79f83b0a04ba";"135";"5";"charge";"Aptitude test reservation";"2019-11-26 03:29:51"
"20af80ac-4827-4153-b61c-797404b5a831";"43";"5";"topup";NULL;"2019-10-13 04:33:09"
"21a76744-6246-4f27-b1e5-a49976e22b47";"123";"5";"topup";NULL;"2020-01-06 05:37:23"
"21e41ac8-d230-4771-957e-5e9aafa75ac9";"135";"5";"charge";"Aptitude test reservation";"2019-12-10 07:05:09"
"2219db94-1116-4dc4-8fc3-ae0734aef813";"127";"5";"charge";"Aptitude test reservation";"2019-12-19 04:24:50"
"2292829a-b601-44d0-a525-4925a0a67547";"129";"5";"charge";"Full Tryout Registration: TryOut UTBK 2020 #1 - Soshum STG a705ffc8-6eed-407b-b02b-9b86bd31a252";"2019-11-07 20:38:51"
"22a01703-88ae-4aee-b94a-6a97f78ce814";"127";"5";"charge";"Aptitude test reservation";"2019-12-11 10:35:45"
"23fe539e-b768-4dab-a4db-47ed4758aaf9";"24";"0";"charge";"Free Tryout Registration: TryOut UTBK 2020 #1 - Saintek 66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"2019-10-14 11:18:31"
"256569ca-9d72-4c34-96b2-76674a69ca24";"127";"5";"charge";"Konseling 1on1 reservation";"2019-11-19 10:52:46"
"256f3d88-c259-4975-bb1c-69222fc9ec3b";"97";"5";"topup";"topup 5 diamond";"2019-10-09 02:48:55"
"25a3e83e-d240-4268-bea4-c624fc12ca2f";"123";"1";"topup";NULL;"2019-10-09 09:25:37"
"25e96494-dfbc-4484-802b-5ad3ef1da524";"108";"5";"topup";NULL;"2019-10-12 12:13:31"
"260ce4fe-2184-4b42-86ea-fb6f8aa6121d";"43";"5";"topup";NULL;"2019-10-12 12:13:26"
"26a442b6-46a0-419f-831a-6ae60d9b62b0";"123";"5";"topup";NULL;"2019-12-04 07:15:15"
"26a6b281-be8c-41dc-adc3-7c07f10d1077";"135";"5";"charge";"Aptitude test reservation";"2019-11-27 06:58:15"
"274d47fa-dac8-45e8-a14b-2a6f2732e892";"123";"1";"charge";"Tryout UTBK";"2019-10-07 06:43:41"
"28cdaf27-644d-4f73-afe4-a79edf1714bf";"123";"5";"charge";"Tryout UTBK";"2019-10-24 08:52:17"
"2965f0a2-1e3a-4920-8f04-d79d9cdd6dee";"129";"5";"charge";"Full Tryout Registration: TEST TryOut UTBK 2020 #2 - Saintek STG 3910cbc4-ecd6-477c-b158-bd3064d3451a";"2019-12-18 09:56:18"
"2a502ebb-1afd-4aee-a9db-44aed8eb6e5d";"127";"5";"charge";"Konseling 1on1 reservation";"2019-11-20 07:26:36"
"2a5f5f8f-706b-49ef-af31-5c89c99c0728";"127";"0";"charge";"ASF";"2019-10-30 13:47:43"
"2b568dae-965a-40e9-a146-019cce961f0a";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-30 13:35:08"
"2bba77fa-240d-4983-8fde-c69ead5064d6";"7";"5";"topup";NULL;"2019-10-11 10:15:15"
"2d1a9990-acde-4605-9d02-b0ef4b412b32";"150";"0";"charge";"Pending Tryout Registration: TryOut UTBK 2020 #3 - Saintek STG 2adb73ac-f35e-4657-9c09-8db9cc02c1a4";"2020-01-03 04:10:59"
"2d68c99c-5264-4b25-b844-1fd59def1de8";"129";"5";"topup";NULL;"2019-10-13 04:33:13"
"2dcf12ea-65e2-486a-a094-1a98e4ddc53f";"43";"3";"charge";"Full Tryout Registration: TryOut UTBK 2020 #3 - Saintek STG 2adb73ac-f35e-4657-9c09-8db9cc02c1a4";"2019-12-14 18:07:51"
"2e215524-f00f-4174-8f10-094c405e148e";"127";"0";"charge";"Full Tryout Registration: Test PAS Semester 1 358e5fca-1ece-4735-8003-e429c08b86ab";"2019-11-29 06:51:23"
"2ed9c234-96f9-41a5-ae7f-f8e48e54a01c";"135";"10";"charge";"Konseling 1on1 reservation";"2019-10-31 03:23:11"
"2f15f893-483e-4de0-8c6a-cee80020456e";"127";"5";"charge";"Konseling 1on1 reservation";"2019-11-20 04:31:40"
"312acc75-9713-481d-a9f6-7a5cf5250806";"139";"0";"charge";"Pending Tryout Registration: TryOut UTBK 2020 #3 - Saintek STG 2adb73ac-f35e-4657-9c09-8db9cc02c1a4";"2019-12-17 07:21:54"
"31788c84-5e64-4a7d-b5c3-abae3d59d0e2";"25";"5";"topup";NULL;"2019-10-13 04:33:09"
"3213bb80-962b-4559-b972-01e816dc0792";"127";"5";"charge";"Konseling 1on1 reservation";"2019-11-19 07:45:44"
"3232ef67-bc31-4ec8-a3cb-9fa2f80daea8";"104";"5";"charge";"Full Tryout Registration: TryOut UTBK 2020 #1 - Soshum STG a705ffc8-6eed-407b-b02b-9b86bd31a252";"2019-11-09 08:06:35"
"329974e0-e9cb-46f7-ba03-95afdde2edc7";"107";"5";"topup";NULL;"2019-10-13 04:33:10"
"35f598e7-6a9f-4274-8b9d-0902a33f57c3";"84";"5";"topup";NULL;"2019-10-12 12:13:31"
"35f80482-298d-40c1-8708-58cfba78bfa8";"128";"5";"charge";"Aptitude test reservation";"2019-11-25 03:55:06"
"364e3fe1-fab0-4d5c-9e3f-7e4523684050";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-30 11:43:15"
"36537ffe-e492-4e6e-9d2b-600fee3a5b17";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-30 13:43:19"
"36bc4a4e-db16-4cc5-8b70-45b2dbb58182";"117";"5";"topup";NULL;"2019-10-13 03:10:40"
"385f1562-0b9b-4a1b-a4fe-f867aa1b2d76";"123";"5";"topup";NULL;"2020-01-10 03:51:10"
"38a7d194-7c32-4147-bbc3-af198ed6c88b";"125";"5";"topup";NULL;"2019-10-13 03:10:44"
"38aa8522-4654-48b3-96fc-2f7a7e92d519";"127";"5";"charge";"Aptitude test reservation";"2019-11-13 03:37:19"
"39122eb3-d2f9-4938-b9a3-07b51735a6d2";"104";"3";"charge";"Full Tryout Registration: TryOut UTBK 2020 #3 - IPC STG 2f915617-0dfd-4e3f-a392-c3fc8df0ecb7";"2020-01-07 07:20:02"
"395fd112-c71c-4d8c-85d3-a096fca47961";"123";"5";"topup";NULL;"2020-01-03 09:11:01"
"397460b6-c107-4553-a7a2-c19aee0e9cdb";"135";"5";"charge";"Aptitude test reservation";"2019-11-29 09:23:11"
"3b137483-b044-44bb-8710-9a1037965abc";"127";"0";"charge";"test";"2019-12-16 06:49:49"
"3bc55f53-924b-43c5-bed5-482cb64b296d";"118";"5";"topup";NULL;"2019-10-12 12:13:33"
"3cb46d6f-187d-460b-b038-28bba9398c33";"123";"1";"topup";NULL;"2019-10-09 09:28:14"
"3d3bcf84-c18d-4a67-9ff1-6d00f63ced56";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-29 07:42:28"
"3db41590-e6e2-4711-a268-3f16a4bfaf11";"128";"5";"charge";"Video Tryout Registration: TryOut UTBK 2020 #1 - Saintek STG 66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"2019-12-25 19:24:57"
"3f292952-864c-410b-81a6-1d57894a7ca6";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-30 13:49:11"
"3fc742c0-bb00-4c57-b91d-a007c569d7ce";"119";"5";"topup";NULL;"2019-10-13 04:33:11"
"3fe01d95-3897-48d0-b657-63d6838ec89e";"97";"5";"topup";NULL;"2019-10-12 12:13:32"
"3ff8d1ed-33fe-4292-86cf-173697055c6a";"123";"5";"topup";NULL;"2019-10-09 11:05:40"
"40722f1c-1d57-4c8c-b3d4-71e59a5a36d5";"129";"0";"charge";"Full Tryout Registration: Test PAS Semester 1 358e5fca-1ece-4735-8003-e429c08b86ab";"2019-11-29 07:08:23"
"4096d81b-e098-4dcf-8453-148e89985eed";"84";"5";"topup";NULL;"2019-10-13 03:10:35"
"4144db6c-ee0f-45af-9f21-68d3759b5b8c";"108";"5";"topup";NULL;"2019-10-13 04:33:10"
"41bf986f-a548-4494-8e0c-4a207b8c6c76";"127";"5";"charge";"Konseling 1on1 reservation";"2019-11-20 07:45:51"
"41c335fa-06b5-4b12-87b9-ae92e9c00d0f";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-31 03:26:46"
"41ce1bc9-a607-42fb-aa8a-3f4aed2851ea";"127";"5";"charge";"Aptitude test reservation";"2020-01-12 11:50:13"
"423d1474-0896-44e3-8bea-0b58d6ea0cdc";"142";"5";"charge";"Full Tryout Registration: TryOut UTBK 2020 #1 - Saintek STG 66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"2019-11-11 09:13:12"
"4337b499-acef-43be-9b5f-a48c483216e2";"119";"5";"topup";NULL;"2019-10-13 03:10:42"
"43eba7fa-5a63-4dd1-8581-716fb709d448";"127";"5";"charge";"Konseling 1on1 reservation";"2019-11-22 04:01:50"
"451d4440-11eb-4867-af3c-ff8f63bd69ce";"127";"5";"charge";"Aptitude test reservation";"2019-11-25 10:37:07"
"4525c770-6779-43dd-a30b-953ea58bf4ba";"130";"10";"charge";"Konseling 1on1 reservation";"2019-10-30 10:07:24"
"45875f7c-0df6-461b-834f-402e66a4b90b";"127";"5";"charge";"Konseling 1on1 reservation";"2019-11-22 04:05:21"
"46b5f7b2-9eb9-4b25-901b-ec30973fe5b6";"117";"5";"topup";NULL;"2019-10-12 12:13:31"
"47efd848-c9ec-463a-9a68-4ccc9da58958";"127";"5";"charge";"Aptitude test reservation";"2019-11-25 04:23:31"
"483a9fa2-f6dd-43bc-ad72-cb9c77c32eed";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-30 11:43:13"
"48966cfe-f0d9-4fb0-8f5b-ab53811db11a";"104";"5";"charge";"Full Tryout Registration: TryOut UTBK 2020 #1 - Soshum STG a705ffc8-6eed-407b-b02b-9b86bd31a252";"2019-11-08 04:27:35"
"4987aa25-04a4-4a12-9a56-77418cb07f66";"128";"5";"charge";"Video Tryout Registration: TryOut UTBK 2020 #1 - Saintek STG 66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"2019-12-25 19:09:17"
"4990fa31-9e40-4c10-a6f7-c064c3fbe2f7";"43";"5";"topup";NULL;"2019-10-13 03:10:34"
"49add98e-19e5-4c76-9655-39b0436348d2";"21";"5";"topup";NULL;"2019-10-13 04:33:08"
"4a6823ea-ffcf-4245-8bd1-a175c027edab";"142";"5";"topup";NULL;"2019-11-11 09:31:54"
"4a98c470-e7c3-44a4-a018-d785a9df8726";"127";"5";"charge";"Aptitude test reservation";"2019-11-25 07:38:43"
"4ac21a30-9cc1-412b-9410-a1697b534a82";"123";"5";"topup";NULL;"2019-10-10 08:12:03"
"4ac636c6-01d8-4476-8936-f8988049d58a";"123";"5";"topup";NULL;"2020-01-10 03:54:29"
"4b823c4f-063c-4e00-ba5e-d0884a15a80e";"122";"5";"topup";NULL;"2019-10-13 03:10:43"
"4c03ac4c-27d7-442c-afbc-c671139949ef";"32";"5";"topup";NULL;"2019-10-13 03:10:33"
"4cec406c-173d-4d2c-b56e-1372a2da8e81";"127";"5";"charge";"Konseling 1on1 reservation";"2019-12-05 05:17:27"
"4e091d12-145f-44ce-9d48-dd548adf0fb8";"97";"5";"charge";"Full Tryout Registration: TryOut UTBK 2020 #1 - Saintek 66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"2019-10-09 06:42:34"
"4e7e0c4e-b139-4245-971c-dfd55ab4673d";"104";"5";"topup";NULL;"2019-10-13 04:33:10"
"4f2c03b1-72f0-46ab-b559-55729ef3031a";"127";"5";"charge";"Aptitude test reservation";"2019-11-25 07:44:20"
"4f5681de-d4b0-43ac-981a-fa5698daa0b4";"123";"0";"charge";"Full Tryout Registration: Test PAS Semester 1 358e5fca-1ece-4735-8003-e429c08b86ab";"2019-12-03 03:09:42"
"4f8a1a97-05c2-4205-a17a-8458b8a97170";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-29 07:44:36"
"4f95ef5e-c804-4b3e-8cb6-9981a72fab1e";"47";"5";"topup";NULL;"2019-10-13 03:10:34"
"4fcc9e03-e7d9-4e10-a5e7-4bd914b1fea1";"7";"5";"topup";NULL;"2019-10-12 12:13:24"
"4fd541a4-7050-4912-8cfe-df679370798f";"104";"0";"charge";"Free Tryout Registration: TryOut UTBK 2020 #1 - Saintek 66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"2019-10-10 07:26:17"
"506cf6ae-af3c-488e-baab-cf3d6790be6f";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-29 03:31:22"
"50ddfc86-124e-4a7c-89de-1429c9702ae9";"43";"3";"charge";"Full Tryout Registration: TryOut UTBK 2020 #3 - Soshum STG de9b4a69-865b-497a-87b5-90cfcff42ea6";"2019-12-11 19:59:21"
"51a780d9-e935-4f72-92fa-acc72047c186";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-30 10:58:17"
"524dd2a3-de5f-480f-8bd6-0853b806bb78";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-28 04:33:36"
"526cfb2f-323f-4e46-ac04-be1cec1f544a";"128";"5";"charge";"Video Tryout Registration: TryOut UTBK 2020 #1 - Saintek STG 66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"2019-12-25 19:47:32"
"53218f46-fba6-4949-b00f-8a0f66029fbc";"127";"5";"charge";"Aptitude test reservation";"2019-11-13 10:04:07"
"53b39e36-77d8-4a93-98cf-d22bbf225bf5";"47";"5";"topup";NULL;"2019-10-13 04:33:09"
"53b8d936-e754-4334-addf-a48bf323d38d";"123";"1";"charge";"Tryout UTBK";"2019-10-07 06:44:18"
"54667104-0746-44aa-8081-61c510a7d208";"127";"5";"charge";"Konseling 1on1 reservation";"2019-12-05 06:18:05"
"54b297cd-0fe7-4e99-b6f8-ee4d1f9f700f";"142";"5";"topup";NULL;"2019-11-11 09:33:17"
"552efc65-8624-43f5-99e6-969810c854b2";"130";"5";"topup";NULL;"2019-10-13 04:33:13"
"5572b83b-d5cd-4c67-9261-98c2d8eb94ac";"104";"5";"charge";"Full Tryout Registration: TryOut UTBK 2020 #1 - Soshum STG a705ffc8-6eed-407b-b02b-9b86bd31a252";"2019-12-19 03:45:23"
"5594e8de-791a-42f8-ae6f-0190bd17a929";"123";"5";"topup";NULL;"2019-12-03 06:14:50"
"55e2ab1b-ca16-4eff-b75e-1a0120394c49";"142";"5";"topup";NULL;"2019-11-11 10:23:19"
"567a2643-c41b-4140-9a9a-9798b6caa27f";"155";"5";"charge";"Full Tryout Registration: TEST TryOut UTBK 2020 #2 - Saintek STG 3910cbc4-ecd6-477c-b158-bd3064d3451a";"2020-01-13 04:35:20"
"56b7c999-1bde-4402-bffb-2c8bbfae4d0f";"108";"5";"topup";NULL;"2019-10-13 03:10:39"
"56f00c2a-11f6-45e7-a2e5-092757d74e55";"142";"0";"charge";"Pending Tryout Registration: TryOut UTBK 2020 #3 - Soshum STG de9b4a69-865b-497a-87b5-90cfcff42ea6";"2019-12-13 10:37:32"
"5968dc80-0c8c-4d4a-9196-fbe7d2b959a2";"84";"5";"topup";NULL;"2019-10-13 04:33:10"
"59c0a103-5279-4023-987e-b01f64ff8d3b";"127";"0";"charge";"tes";"2019-12-28 13:25:40"
"59f9d178-7cbf-4c7b-9d7b-37b09e1dfe96";"24";"5";"topup";NULL;"2019-10-13 04:33:09"
"5a62af52-86bc-42c2-a4da-59401f8efd8d";"123";"5";"topup";NULL;"2020-01-03 09:28:22"
"5b5f7873-3154-4994-ac5b-b56691f5ec89";"127";"5";"charge";"Aptitude test reservation";"2019-11-25 07:34:37"
"5c38d845-7475-4e62-8aee-10c857a59e1e";"150";"0";"charge";"Pending Tryout Registration: TryOut UTBK 2020 #3 - Saintek STG 2adb73ac-f35e-4657-9c09-8db9cc02c1a4";"2020-01-03 03:58:25"
"5d1c2c7a-f712-4d7e-944c-42de123d978f";"123";"5";"topup";NULL;"2019-12-03 06:20:45"
"5db44c87-a66c-411d-8ac8-1db1d8b6d973";"127";"5";"charge";"Konseling 1on1 reservation";"2019-11-19 04:13:01"
